Airline,Delay
WN,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,0
WN,0
WN,0
XE,0
YV,0
YV,0
OO,0
YV,0
FL,0
OO,0
YV,0
FL,1
OO,0
US,0
B6,0
OO,0
US,0
US,1
US,0
US,0
US,0
XE,1
YV,0
YV,0
9E,0
9E,1
9E,1
AA,0
AA,0
AA,0
AA,0
AA,1
AA,0
AA,0
B6,0
DL,1
DL,0
EV,0
FL,0
MQ,0
MQ,0
OH,0
OH,0
OO,0
OO,1
UA,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
WN,1
WN,1
WN,1
WN,1
WN,0
WN,1
WN,1
WN,0
XE,0
YV,0
YV,0
DL,0
OO,1
OO,1
OO,0
YV,0
OO,1
OO,0
OO,0
OO,1
US,0
XE,0
XE,1
DL,1
XE,1
OO,0
US,1
US,0
YV,0
9E,0
9E,0
9E,0
AA,1
AA,0
AS,0
AS,0
B6,0
B6,0
B6,1
DL,0
DL,1
DL,1
DL,0
DL,1
DL,0
EV,1
EV,0
EV,0
F9,1
F9,0
F9,0
F9,0
FL,0
FL,0
HA,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
OH,1
OH,0
OH,0
OH,0
OO,0
OO,0
OO,1
OO,1
OO,0
US,0
US,0
US,1
US,1
US,1
US,1
US,0
US,0
US,0
WN,0
WN,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,0
WN,0
WN,1
WN,1
WN,1
WN,0
WN,1
WN,1
WN,1
WN,0
WN,1
XE,1
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
YV,0
YV,0
YV,0
YV,0
FL,0
HA,0
OO,1
XE,0
XE,0
YV,0
DL,0
FL,0
FL,0
OO,0
YV,0
AA,1
DL,1
F9,0
F9,0
FL,1
FL,0
FL,1
FL,0
MQ,0
US,1
US,1
XE,0
YV,0
YV,0
9E,1
9E,0
AA,1
AA,0
AA,0
AA,1
AA,0
AS,1
AS,1
B6,0
B6,0
B6,1
CO,1
CO,0
DL,0
DL,0
DL,1
DL,1
DL,0
DL,1
DL,0
DL,1
DL,1
DL,0
DL,0
DL,1
DL,0
DL,0
EV,0
FL,0
HA,1
MQ,1
MQ,1
MQ,0
MQ,0
MQ,0
MQ,0
MQ,1
MQ,0
MQ,0
MQ,1
MQ,0
MQ,0
MQ,0
MQ,0
OH,0
OO,0
OO,0
OO,1
OO,1
OO,0
OO,0
UA,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
WN,1
WN,0
WN,0
WN,1
WN,1
WN,0
WN,0
WN,0
WN,1
WN,1
WN,1
WN,0
WN,1
WN,1
WN,1
WN,1
WN,1
WN,0
WN,1
WN,0
WN,1
XE,0
XE,0
XE,0
XE,1
XE,1
XE,0
XE,1
XE,0
XE,0
FL,0
OO,0
OO,0
XE,0
YV,0
B6,0
B6,0
DL,1
OO,0
OO,0
UA,0
XE,1
DL,1
FL,1
OO,0
DL,1
FL,0
OO,0
OO,0
UA,0
UA,0
AA,0
AA,0
AA,0
AA,0
AA,0
AS,0
B6,1
DL,0
DL,1
DL,1
DL,1
DL,1
EV,0
EV,0
FL,0
FL,0
HA,0
MQ,0
MQ,1
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
OO,1
OO,0
OO,0
OO,0
OO,0
UA,1
UA,1
UA,0
US,1
US,1
US,1
US,0
US,0
WN,1
WN,1
WN,1
WN,1
WN,0
WN,0
WN,0
WN,1
WN,0
WN,1
WN,1
WN,1
WN,1
WN,0
WN,1
XE,0
XE,0
XE,0
XE,0
YV,1
FL,0
OO,0
OO,0
F9,0
UA,0
9E,1
AA,0
AA,0
AA,0
AA,0
AS,1
AS,1
AS,0
AS,1
B6,1
DL,1
EV,0
F9,1
FL,0
FL,0
FL,1
HA,0
MQ,0
MQ,0
OH,0
OH,0
OO,0
OO,0
OO,0
UA,0
UA,0
US,1
US,0
US,0
WN,1
WN,1
WN,1
WN,1
WN,0
WN,0
WN,1
WN,1
WN,0
WN,1
WN,0
WN,0
DL,0
EV,1
OO,0
FL,0
OO,0
OO,1
OO,0
OO,0
9E,0
AA,1
AA,1
AA,0
AA,0
AA,0
AA,0
B6,0
B6,1
B6,1
B6,0
CO,0
CO,0
DL,1
DL,1
DL,1
DL,0
EV,1
MQ,0
MQ,0
OO,1
OO,0
OO,0
UA,0
US,0
US,0
US,0
US,0
US,0
WN,0
WN,1
WN,1
WN,0
WN,1
WN,0
WN,1
WN,0
WN,0
WN,1
WN,1
WN,1
WN,1
WN,1
WN,0
WN,1
WN,0
WN,0
WN,1
XE,0
YV,0
OO,1
OO,0
UA,1
OO,0
FL,0
OO,0
OO,0
UA,0
DL,0
AA,1
AA,1
AA,1
AA,0
AA,0
AA,1
AS,0
AS,1
AS,0
B6,1
B6,0
B6,0
CO,0
DL,1
DL,1
DL,0
DL,1
DL,1
EV,1
EV,0
EV,0
F9,0
MQ,0
MQ,0
MQ,0
MQ,0
OO,0
OO,0
OO,0
OO,0
UA,0
US,0
WN,1
WN,1
WN,1
WN,1
WN,0
WN,1
WN,0
WN,1
WN,1
WN,1
WN,1
WN,0
XE,1
YV,0
YV,0
DL,0
DL,0
EV,0
HA,0
OO,0
EV,1
OO,1
OO,1
OO,1
OO,0
UA,0
AA,0
AA,1
AA,1
AA,1
AS,1
AS,1
DL,0
DL,0
DL,0
EV,0
EV,0
FL,0
MQ,0
MQ,0
OH,0
UA,0
UA,0
WN,1
WN,1
WN,1
WN,1
WN,0
WN,0
WN,1
WN,0
WN,1
WN,1
YV,0
DL,0
CO,0
DL,0
DL,0
EV,0
HA,0
UA,0
UA,0
UA,0
UA,1
UA,0
AA,0
DL,0
OO,0
UA,1
UA,0
XE,1
9E,0
9E,1
9E,0
9E,1
AA,0
AA,0
AA,1
AS,0
AS,0
B6,0
B6,1
B6,0
B6,0
B6,1
B6,1
DL,0
DL,0
DL,0
DL,0
DL,1
DL,0
EV,0
EV,0
MQ,0
MQ,0
OH,0
OH,0
UA,0
UA,0
UA,0
UA,0
US,0
US,0
US,0
US,0
US,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,0
WN,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,0
WN,1
WN,1
WN,1
WN,1
XE,1
DL,0
EV,1
OH,0
DL,1
DL,0
DL,0
EV,0
OO,0
OO,0
9E,1
9E,0
AA,1
AA,0
AA,1
AA,0
AA,1
AA,1
AA,1
AA,0
AA,0
AA,1
B6,0
CO,0
DL,1
DL,1
EV,0
HA,0
MQ,1
MQ,0
MQ,1
OH,0
OH,0
OO,1
OO,1
UA,0
UA,0
US,0
US,1
US,0
US,0
US,0
US,0
WN,1
WN,0
WN,1
WN,1
WN,0
WN,1
WN,1
WN,1
WN,0
WN,1
WN,1
WN,0
WN,1
WN,0
WN,1
WN,1
WN,0
WN,0
XE,0
EV,0
EV,0
UA,1
AS,0
EV,0
UA,0
EV,0
UA,0
9E,0
9E,0
AA,1
AA,0
AS,1
AS,1
AS,1
AS,0
DL,1
FL,0
FL,0
MQ,1
MQ,0
MQ,1
MQ,0
MQ,0
MQ,0
MQ,0
MQ,1
OH,0
OH,0
OO,0
OO,0
OO,1
OO,0
US,0
US,0
US,0
US,1
WN,0
WN,1
WN,1
WN,0
WN,0
WN,1
WN,1
WN,1
WN,1
XE,1
YV,0
YV,0
EV,1
OO,0
OO,1
UA,0
EV,1
OO,0
XE,1
DL,0
DL,0
EV,0
FL,0
EV,1
FL,1
AA,0
AA,1
AA,1
AS,0
AS,1
B6,1
B6,0
B6,1
CO,0
CO,0
DL,0
EV,0
EV,1
EV,0
EV,1
FL,0
MQ,0
MQ,0
OO,0
US,1
US,0
US,0
US,0
WN,1
WN,1
WN,0
WN,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,0
XE,0
FL,0
EV,0
EV,1
OO,0
B6,0
DL,1
FL,1
HA,0
EV,1
OO,1
AA,1
AA,1
AS,0
AS,0
B6,0
B6,0
B6,1
B6,0
CO,1
CO,1
DL,1
FL,0
FL,0
FL,0
FL,0
MQ,0
OH,0
OH,1
OO,0
OO,0
US,0
WN,1
WN,1
WN,0
WN,0
WN,1
WN,1
WN,1
XE,0
XE,0
OO,0
B6,0
OO,0
AA,0
AA,0
AA,1
AA,0
AA,0
AA,1
AA,1
AA,1
AA,0
AA,0
AA,0
AA,1
B6,0
B6,0
CO,0
CO,0
CO,1
CO,1
CO,0
CO,1
EV,0
FL,1
FL,0
FL,0
FL,0
FL,0
FL,0
FL,1
FL,1
FL,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
OO,0
OO,1
WN,1
WN,0
WN,0
WN,1
WN,1
XE,0
XE,1
XE,0
XE,0
YV,0
YV,0
HA,0
OO,0
OO,0
B6,0
OO,0
OO,0
YV,0
YV,0
YV,0
FL,0
OO,0
OO,1
UA,1
US,0
AA,1
AA,0
AA,0
AA,0
AA,1
AA,0
AS,0
B6,1
B6,0
B6,0
CO,1
CO,0
CO,1
DL,0
DL,0
DL,0
FL,0
FL,0
FL,0
FL,1
FL,0
FL,0
FL,0
FL,0
HA,0
MQ,0
MQ,1
OH,0
OO,0
OO,0
UA,0
UA,0
UA,0
UA,0
US,0
US,1
US,0
US,0
US,0
WN,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,1
WN,0
WN,0
XE,0
XE,1
XE,0
XE,1
YV,0
YV,0
OO,0
OO,0
UA,0
US,0
9E,0
AA,0
AA,0
AA,0
AA,1
AS,0
B6,0
CO,0
CO,0
EV,0
FL,0
FL,1
FL,0
MQ,1
MQ,0
OO,0
OO,0
UA,0
UA,0
US,0
US,0
US,1
US,0
WN,1
WN,1
WN,1
WN,0
WN,1
XE,1
XE,0
XE,0
YV,0
OO,0
UA,0
YV,0
AS,1
CO,0
OO,0
UA,0
YV,0
YV,0
XE,1
AA,0
AA,0
AA,0
AA,0
B6,0
CO,1
CO,0
CO,1
CO,0
CO,0
F9,0
F9,0
F9,0
F9,0
F9,1
F9,0
FL,0
MQ,0
MQ,0
US,1
US,0
US,0
US,0
US,0
US,0
US,1
US,0
US,0
WN,0
WN,1
WN,0
WN,1
WN,1
XE,0
XE,0
YV,0
B6,0
F9,0
B6,0
9E,1
AA,0
AA,0
CO,1
CO,0
CO,0
F9,1
F9,1
HA,0
MQ,1
MQ,0
MQ,0
MQ,0
MQ,1
OH,0
OO,0
OO,1
OO,1
OO,1
US,0
US,0
US,0
WN,1
WN,0
XE,1
XE,0
XE,0
UA,0
OO,0
AA,0
AA,0
AA,0
AA,0
MQ,0
OO,1
OO,0
OO,0
OO,0
OO,1
US,0
US,0
WN,0
WN,1
WN,0
WN,1
WN,0
WN,1
XE,0
XE,0
XE,0
XE,0
XE,0
XE,1
XE,0
YV,0
OO,1
UA,1
YV,1
AA,0
AA,0
B6,0
B6,0
CO,0
F9,0
FL,0
FL,1
FL,0
MQ,0
MQ,0
MQ,0
OO,0
OO,0
WN,1
WN,1
WN,1
WN,1
WN,1
XE,1
XE,0
XE,0
XE,0
XE,0
OO,0
OO,1
OO,0
UA,0
UA,0
UA,0
OO,0
9E,0
9E,0
AA,0
AA,0
AA,1
AA,0
AS,0
AS,1
B6,0
B6,1
CO,0
DL,0
DL,1
DL,1
DL,0
DL,0
DL,0
DL,0
DL,1
DL,1
DL,1
DL,0
DL,1
DL,0
EV,1
EV,1
FL,0
MQ,1
MQ,0
MQ,0
MQ,0
MQ,0
OH,0
OO,1
OO,1
OO,1
OO,0
OO,0
OO,1
OO,1
OO,0
OO,0
OO,0
OO,0
OO,0
UA,0
WN,0
XE,0
XE,0
XE,0
DL,1
DL,0
OO,1
UA,1
DL,0
OO,0
OO,0
DL,0
OO,0
UA,0
9E,1
9E,0
9E,0
9E,0
9E,0
AA,0
AA,0
AA,0
AA,0
B6,0
CO,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,1
DL,1
DL,0
EV,0
EV,0
EV,0
FL,0
MQ,0
MQ,1
OO,1
OO,0
WN,1
YV,1
YV,0
DL,0
EV,0
EV,0
OO,0
OO,1
OO,0
UA,0
OO,0
OO,0
OO,0
DL,1
OO,0
OO,0
UA,0
OO,0
OO,0
UA,0
UA,0
UA,0
UA,0
UA,0
9E,0
9E,0
9E,0
AA,0
AA,0
CO,0
DL,1
DL,0
DL,1
DL,0
DL,0
DL,1
DL,1
DL,0
DL,1
DL,1
DL,0
DL,0
DL,1
EV,0
FL,0
HA,0
OH,0
OO,0
OO,0
WN,1
WN,1
WN,1
WN,1
WN,1
XE,0
YV,0
EV,0
OH,0
OO,0
DL,1
OO,0
UA,0
UA,0
OO,0
OO,0
DL,0
OO,0
OO,0
OO,0
OO,1
9E,0
9E,0
9E,1
9E,0
9E,1
AA,0
AA,0
AA,0
AA,1
B6,1
B6,1
DL,1
DL,1
DL,1
DL,0
DL,0
DL,0
DL,0
DL,0
EV,0
EV,0
EV,0
MQ,0
MQ,0
OH,0
OH,0
OH,0
OO,1
OO,0
OO,0
OO,0
UA,1
UA,1
WN,1
WN,1
HA,0
OO,0
OO,0
B6,0
DL,0
DL,0
OO,0
EV,0
OO,0
OO,0
9E,0
9E,0
9E,1
9E,1
AA,0
B6,0
CO,1
DL,1
DL,0
DL,1
DL,0
DL,0
DL,0
DL,1
DL,1
DL,1
EV,0
EV,0
EV,0
EV,1
EV,1
OO,0
OO,0
OO,1
OO,1
OO,0
OO,0
OO,0
OO,0
UA,0
UA,0
UA,0
UA,0
XE,1
YV,0
DL,0
UA,0
DL,1
DL,1
DL,0
EV,0
DL,0
OO,0
OO,1
OO,1
9E,0
9E,0
9E,1
9E,1
9E,1
AA,0
DL,0
DL,1
DL,0
DL,1
DL,1
DL,0
OO,0
UA,1
UA,0
UA,0
UA,0
DL,1
DL,1
EV,0
OO,0
XE,0
DL,0
DL,1
DL,1
DL,0
DL,0
EV,0
OH,0
9E,1
AA,0
AA,0
AA,0
AS,0
CO,0
DL,1
DL,1
EV,0
EV,1
MQ,0
MQ,0
OO,1
UA,0
US,0
YV,0
EV,1
EV,0
EV,0
UA,0
9E,1
AA,1
AS,0
DL,1
EV,0
EV,1
FL,1
FL,0
FL,0
FL,0
FL,0
OO,1
UA,0
UA,0
US,1
US,1
EV,0
YV,1
UA,0
US,0
US,1
US,0
US,0
US,1
YV,0
AA,1
AA,1
AA,0
AS,0
CO,0
DL,0
EV,0
EV,0
FL,0
FL,0
FL,1
FL,0
MQ,0
UA,0
US,0
UA,0
UA,0
US,0
US,1
US,0
US,0
FL,0
EV,0
US,0
AA,0
AA,0
AA,0
AS,1
DL,0
DL,0
FL,1
FL,0
FL,0
FL,0
FL,0
FL,1
FL,0
FL,0
FL,0
FL,0
FL,0
FL,1
FL,0
FL,0
MQ,0
MQ,0
OO,0
UA,0
US,0
US,0
US,0
US,0
US,1
US,0
US,1
US,0
YV,0
EV,0
B6,0
AA,0
AA,0
AA,0
AA,1
AS,1
B6,0
CO,0
CO,0
FL,1
FL,1
US,0
US,1
US,0
US,0
US,0
US,0
US,0
YV,0
AS,0
B6,0
DL,1
MQ,0
US,0
US,0
US,0
US,0
YV,0
OO,1
UA,0
UA,0
AA,0
AA,0
B6,1
B6,0
DL,0
DL,0
DL,0
MQ,0
MQ,0
MQ,0
OO,0
UA,0
UA,1
US,0
YV,0
UA,0
OO,0
OO,1
OO,0
OO,0
OO,1
UA,0
AA,1
AA,0
DL,0
HA,0
MQ,0
MQ,0
OO,1
OO,1
UA,0
US,1
US,0
US,0
YV,0
UA,0
FL,0
AA,0
AA,0
B6,0
DL,1
DL,0
DL,1
DL,1
OO,0
OO,1
OO,0
OO,0
UA,0
UA,1
US,0
YV,0
YV,0
YV,0
OO,0
OO,1
UA,1
OO,0
UA,1
AA,0
AA,0
AA,0
AS,1
B6,0
B6,1
DL,1
DL,0
DL,0
DL,0
DL,0
DL,1
DL,1
HA,0
MQ,0
OO,0
OO,1
US,1
US,0
YV,0
YV,0
DL,0
DL,0
EV,0
EV,0
UA,0
OO,0
AA,0
B6,0
B6,0
DL,0
DL,1
DL,0
DL,1
EV,0
HA,0
US,0
DL,0
DL,0
EV,0
DL,0
EV,0
EV,0
EV,1
AA,1
B6,0
DL,0
DL,1
DL,1
HA,0
UA,0
XE,0
AA,0
AS,0
DL,0
UA,0
US,0
XE,0
XE,0
FL,0
US,0
XE,0
OO,0
UA,0
AA,0
UA,0
UA,0
B6,0
DL,1
B6,0
B6,0
UA,0
B6,0
OO,1
AS,1
DL,1
DL,1
B6,0
B6,0
AA,0
CO,0
DL,0
DL,0
OO,0
UA,0
US,0
B6,0
CO,1
CO,0
UA,0
UA,0
DL,0
FL,0
B6,1
AA,0
AS,1
B6,1
B6,0
DL,1
US,0
US,0
CO,1
US,0
AA,1
AA,0
AA,0
AS,0
B6,0
CO,1
DL,0
DL,1
B6,0
B6,1
B6,0
CO,1
FL,0
FL,0
UA,0
UA,1
DL,0
CO,1
US,0
AA,0
AA,0
AS,0
CO,1
DL,0
DL,0
DL,0
AA,0
DL,0
CO,0
AA,0
DL,0
DL,0
DL,1
AA,0
AS,0
US,1
B6,1
CO,0
DL,0
AS,1
DL,0
AS,1
DL,0
HA,0
US,0
AS,1
CO,0
B6,0
B6,0
B6,0
OO,0
US,0
US,0
HA,0
HA,0
OO,0
US,0
US,0
US,0
HA,0
DL,0
OO,0
EV,0
OO,0
US,1
OO,0
9E,1
9E,0
9E,1
AA,0
CO,1
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
EV,0
EV,0
EV,0
EV,0
OO,0
OO,0
US,0
US,0
US,0
EV,0
HA,0
YV,0
9E,0
9E,0
AA,1
B6,1
CO,0
CO,1
UA,0
XE,0
OO,0
9E,1
CO,0
DL,0
DL,0
DL,0
DL,0
XE,0
XE,0
9E,0
9E,0
9E,0
9E,0
AA,0
AA,0
AA,0
CO,0
CO,0
CO,0
CO,0
DL,0
DL,1
DL,0
DL,0
EV,0
EV,1
EV,0
EV,0
EV,0
F9,0
FL,0
OH,0
OH,0
OO,0
OO,0
OO,0
OO,0
OO,1
UA,1
US,0
XE,1
UA,0
OO,0
B6,0
CO,0
DL,0
DL,0
DL,0
DL,0
DL,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,1
MQ,0
MQ,0
MQ,1
MQ,0
OH,0
XE,0
HA,0
9E,0
9E,1
9E,0
9E,0
B6,1
DL,0
DL,0
FL,0
MQ,0
XE,0
9E,0
9E,0
9E,0
9E,0
9E,0
9E,0
9E,0
9E,0
9E,0
9E,0
9E,1
9E,0
9E,0
9E,0
9E,0
AA,0
AA,0
AA,0
AA,0
AA,0
AA,0
AA,0
AA,1
AA,0
AA,0
AA,0
AA,0
AA,0
AA,0
AA,0
AA,1
AA,1
AA,0
AA,0
AA,0
AA,0
AA,1
AA,0
AA,0
AA,1
AA,0
AA,0
AA,0
AA,0
AA,0
AA,0
AA,0
AS,0
AS,0
AS,0
AS,0
AS,0
B6,1
B6,0
B6,0
B6,1
B6,1
B6,0
B6,0
B6,0
B6,0
B6,1
B6,0
B6,0
B6,0
B6,0
B6,0
B6,0
CO,0
CO,0
CO,0
CO,1
CO,0
CO,0
CO,1
CO,1
DL,0
DL,1
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,1
DL,1
DL,0
DL,0
DL,1
DL,0
DL,1
DL,0
DL,0
DL,0
DL,1
DL,0
DL,0
DL,0
EV,1
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,1
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,1
EV,1
EV,0
EV,0
EV,0
EV,1
EV,0
F9,0
F9,0
FL,0
FL,0
FL,0
FL,1
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,1
FL,0
FL,0
FL,0
FL,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,1
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,1
MQ,1
MQ,1
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,1
MQ,1
MQ,0
MQ,0
MQ,0
MQ,0
MQ,1
MQ,1
OH,0
OH,0
OH,0
OH,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,1
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,1
OO,0
OO,0
OO,0
OO,0
OO,1
OO,0
OO,0
OO,1
OO,0
OO,0
OO,1
OO,1
OO,1
OO,1
OO,0
OO,0
OO,0
OO,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,1
UA,0
UA,1
UA,0
UA,0
UA,0
UA,0
UA,0
UA,0
UA,1
UA,0
UA,0
UA,0
UA,1
US,0
US,0
US,0
US,1
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
WN,1
WN,0
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
XE,1
XE,1
XE,1
XE,0
XE,0
XE,0
XE,0
XE,0
XE,1
XE,0
YV,0
YV,0
YV,0
YV,0
YV,0
YV,0
B6,0
OO,1
OO,0
OO,1
UA,0
OO,0
UA,1
B6,0
B6,0
CO,0
DL,0
OO,0
UA,0
OO,0
OO,0
OO,1
OO,0
UA,0
9E,0
AA,0
AA,0
AA,0
AA,0
AA,1
AA,0
AA,0
AA,0
AA,0
AS,0
AS,1
B6,0
B6,0
CO,0
CO,1
DL,0
DL,0
DL,0
DL,1
DL,0
DL,0
DL,0
DL,1
DL,0
EV,0
FL,0
FL,0
FL,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
OH,0
OO,0
OO,1
OO,1
OO,1
UA,0
UA,0
US,1
XE,1
XE,0
XE,0
XE,0
XE,1
OO,1
UA,0
XE,0
OO,0
UA,0
UA,1
XE,0
UA,0
UA,0
9E,0
AA,0
AA,0
AA,0
AA,0
AA,1
AA,1
AA,0
AA,0
AA,0
AS,1
AS,0
AS,0
CO,0
CO,0
DL,0
DL,1
DL,0
DL,0
DL,0
DL,0
DL,1
DL,0
EV,0
EV,0
EV,0
EV,0
F9,0
F9,0
FL,0
FL,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
OH,0
OH,0
OH,1
OH,0
OH,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,0
OO,1
OO,0
OO,1
UA,0
UA,1
UA,0
US,0
US,0
US,0
US,0
WN,0
WN,0
WN,1
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
YV,0
YV,0
UA,1
YV,0
OO,0
UA,0
HA,0
UA,0
UA,0
XE,0
9E,1
9E,1
9E,0
9E,0
9E,0
9E,1
AA,0
B6,1
CO,0
CO,0
CO,0
CO,1
DL,0
DL,0
DL,1
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,1
DL,0
EV,0
EV,0
EV,0
EV,0
EV,0
EV,0
F9,0
F9,0
F9,0
F9,0
F9,0
FL,1
FL,0
FL,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,1
MQ,1
MQ,0
OH,0
OH,0
OO,0
OO,0
OO,0
OO,1
UA,0
UA,1
UA,0
US,0
US,0
US,0
US,0
WN,0
XE,1
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
YV,0
XE,1
FL,0
UA,1
UA,0
OO,0
UA,0
9E,1
9E,0
9E,0
9E,0
9E,0
AA,0
AA,1
AA,0
AA,0
AA,1
AA,0
AA,0
AA,0
AA,1
AA,0
AA,0
AS,0
AS,0
B6,0
CO,0
CO,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
EV,0
EV,1
F9,0
F9,0
FL,0
FL,0
FL,0
FL,0
MQ,0
MQ,0
MQ,0
MQ,0
OO,0
OO,0
OO,0
OO,0
OO,1
OO,0
OO,0
UA,1
UA,0
US,0
US,0
US,1
WN,0
XE,0
YV,1
HA,0
OO,0
UA,1
UA,1
OO,0
UA,0
DL,0
HA,1
XE,0
DL,0
OO,0
UA,1
UA,1
UA,0
UA,0
9E,0
AA,0
AA,0
AA,0
AA,0
AA,0
AA,0
AA,0
AA,0
B6,0
B6,0
CO,0
CO,0
CO,0
CO,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,1
EV,0
EV,0
F9,0
F9,0
FL,0
MQ,1
MQ,0
OH,0
OO,0
OO,1
OO,1
OO,1
OO,1
OO,1
OO,0
OO,0
US,0
US,0
US,0
XE,0
XE,0
XE,0
YV,1
YV,0
OO,0
OO,0
OO,0
XE,0
XE,0
9E,1
UA,0
XE,0
XE,0
OO,0
UA,1
9E,0
9E,0
9E,0
9E,0
9E,0
9E,0
9E,0
AA,0
AA,0
AA,0
AA,1
AA,0
AA,0
AS,1
AS,0
AS,0
B6,1
B6,0
B6,0
B6,1
CO,0
CO,1
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,1
DL,0
DL,0
DL,0
DL,0
DL,0
DL,1
DL,0
DL,0
DL,0
DL,0
EV,0
EV,1
EV,0
EV,1
EV,0
EV,1
EV,0
EV,0
EV,0
F9,0
F9,0
FL,0
FL,0
FL,0
FL,0
FL,0
FL,0
MQ,0
MQ,1
MQ,0
MQ,0
MQ,0
MQ,1
MQ,1
MQ,0
MQ,1
MQ,0
MQ,0
MQ,0
MQ,1
MQ,0
MQ,0
MQ,1
OH,0
OH,0
OH,0
OO,0
OO,1
OO,1
OO,0
OO,0
OO,0
OO,1
OO,0
OO,1
UA,0
UA,1
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
US,0
WN,0
WN,0
WN,1
WN,0
WN,0
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
XE,0
YV,0
YV,0
B6,0
UA,0
OH,0
UA,0
OO,0
OO,0
OO,0
HA,0
HA,0
OO,0
9E,1
AA,0
AA,0
AA,0
CO,0
CO,1
CO,0
DL,1
DL,1
DL,0
EV,0
EV,0
FL,0
FL,0
MQ,0
MQ,0
MQ,1
OO,0
OO,0
WN,0
WN,0
WN,0
XE,0
OO,0
XE,0
OO,0
UA,0
XE,0
UA,0
UA,0
UA,0
9E,0
9E,1
9E,0
AA,0
AA,0
AA,0
AA,1
AS,0
AS,0
AS,0
B6,0
CO,0
CO,0
CO,1
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
EV,0
EV,0
EV,0
EV,0
F9,0
F9,0
FL,0
FL,0
FL,0
FL,1
FL,0
MQ,0
MQ,1
MQ,0
MQ,0
MQ,0
MQ,0
OO,0
OO,0
OO,0
UA,0
US,0
US,0
US,0
WN,0
WN,0
OO,1
B6,0
UA,0
XE,0
9E,0
F9,0
OO,0
9E,0
9E,0
AA,0
AA,0
AA,0
AA,0
AA,1
AA,0
AA,0
AA,1
AA,0
AS,0
AS,0
AS,1
AS,1
AS,0
CO,0
CO,1
CO,0
DL,0
DL,0
DL,0
DL,0
DL,0
DL,0
EV,0
EV,0
EV,0
EV,0
EV,0
F9,0
FL,0
MQ,0
MQ,0
MQ,0
MQ,0
MQ,1
OH,0
OH,0
OH,0
OO,0
OO,0
OO,0
OO,1
OO,0
UA,0
UA,1
US,0
US,1
US,1
WN,0
WN,0
WN,0
WN,0
WN,0
WN,0
WN,1
WN,0
WN,1
WN,0
WN,1
WN,0
WN,0
WN,1
WN,0
XE,0
XE,0
XE,0
XE,0
XE,0
YV,0
YV,0
